'NSA.window_bound_any_constant' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.n13_root_inverted' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.gradProj_kills_solenoidal' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.gradProj_fixes_gradient' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.pressure_is_gradient_part' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.acceleration_pythagoras' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.critical_line' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.critical_s_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.energy_class_index' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.damping_serrin_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.h1_closure_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.gap_table' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.ratio_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.witness_saturates' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.sqrt_not_lipschitz_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.planar_crossing' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.deep_caustic_law' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.mu2_front' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.spherical_caustic_law' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.efe_null_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'NSA.viscous_particular' depends on axioms: [propext, Classical.choice, Quot.sound]
