CHECKS 44/44 PASS
  PASS a0 identity-pinned: a0 = c^2/(Z R_dS) at ratio 1.00005 (Z11)  | ratio=1.0000507595885317 a0_H=9.362375206191875e-11
  PASS m derived from the ladder: G212 m = 5.089 +- 0.097 keV (5.09 +- 0.10)  | peak=5.0886 sigma=0.0969
  PASS f_b NOT pinned -- REMAINS AN INPUT (B09 14/14: band [0.150, 0.157], envelope [0.139, 0.180])  | B09 V3
  PASS S05 input count registered: 4 measured + 1 identity-pinned + 1 derived = 6 core  | S05 V3
  PASS ancillary Omega_dm = 0.264, Omega_star = 0.0027 on record (G079 pie)  | {'Omega_dm': 0.264, 'Omega_star': 0.0027}
  PASS C01 LEAN-CERTIFIED: 10 theorems, exit 0, zero sorry, axioms {propext, Classical.choice, Quot.sound}  | theorems=10 tracked=True
  PASS C02 LEAN-CERTIFIED: 8 theorems, exit 0, zero sorry, axioms {propext, Classical.choice, Quot.sound}  | theorems=8 tracked=True
  PASS C04 LEAN-CERTIFIED: 7 theorems, exit 0, zero sorry, axioms {propext, Classical.choice, Quot.sound}  | theorems=7 tracked=True
  PASS C05 LEAN-CERTIFIED: 10 theorems, exit 0, zero sorry, axioms {propext, Classical.choice, Quot.sound}  | theorems=10 tracked=True
  PASS C06 LEAN-CERTIFIED: 8 theorems, exit 0, zero sorry, axioms {propext, Classical.choice, Quot.sound}  | theorems=8 tracked=True
  PASS C07 LEAN-CERTIFIED: 11 theorems, exit 0, zero sorry, axioms {propext, Classical.choice, Quot.sound}  | theorems=11 tracked=True
  PASS C03 (line E=m/2 + Abel cusp) IN-FLIGHT: file on disk, NOT committed  | on_disk=True tracked=False
  PASS C08 (thermal fixed point) IN-FLIGHT: file on disk, NOT committed  | on_disk=True tracked=False
  PASS cert ledger: C09 G227 recount 126 theorems / 16 certificates on record  | 126/16
  PASS C-wave adds 54 theorems / 6 certificates (10+8+7+10+8+11)  | c_total=54 lanes=['C01', 'C02', 'C04', 'C05', 'C06', 'C07']
  PASS phantom rho = A/r^2, A = sqrt(G M_b a0)/(4 pi G), coeff 1 -- LEAN (C07 the_spine + EQUILIBRIUM + G031 + G227)  | C07
  PASS equipartition M_ph(<r_M) = M_b to 1.11e-16 -- LEAN (C07 equipartition_from_amplitude)  | C07 C1
  PASS deep RAR g^2 = a0 g_N LEAN (G031 deep_rar / G201 deep_limit_sq) + MEASURED 0.150 dex / 55 HI dwarfs  | C09 spine link 5
  PASS BTFR v^4 = G M_b c^2/(Z R_dS) LEAN (G090 btfr_quartic), horizon form  | C09 spine link 6
  PASS 12-decade line MEASURED: b = 1.004 +- 0.011, n = 542, rms 0.180 dex (G162/G131/S09)  | {"n": 542, "slope": 1.004, "se": 0.0108, "nu_sigma": 0.3662975368828828, "rms_about_identity": 0.1795, "rms_ab
  PASS temperature law T = mu m_p sqrt(G M_b a0)/(2 k_B) -- LEAN (C04 field_identity/inverse/ratio) + MEASURED 0.053-dex MAD on 50 objects/3 instruments  | n=50 mad=0.05305
