idx,hash,date,era,category,claim,+,-,n_files,message
1,84f23931,2026-03-17,sound,MOND-cosmology,1,582,0,4,The Zimmerman Formula: A novel MOND-cosmology relationship
2,502d09b1,2026-03-17,sound,MOND-cosmology,1,16,15,1,Update verification code to show all H₀ cases (0.5% at H₀=71.1)
3,e1603604,2026-03-17,sound,MOND-cosmology,1,5194,2,182,"Add testable predictions, SPARC data, and high-z analysis"
4,5b53cc4a,2026-03-17,sound,docs/meta,0,67,4,1,Update README with testable predictions and usage instructions
5,333a9a71,2026-03-17,sound,MOND-cosmology,1,4,7,3,Remove proprietary framework references
6,43e56b33,2026-03-18,sound,MOND-cosmology,1,407,0,4,Add JWST high-redshift test of Zimmerman formula
7,d41e3ca6,2026-03-18,sound,MOND-cosmology,0,15,0,1,Highlight JWST confirmation at top of README
8,585b504e,2026-03-18,sound,MOND-cosmology,1,2445,0,21,Add 7 verified example applications with real observational data
9,6678599c,2026-03-18,sound,docs/meta,0,67,0,1,Add verified applications summary and quick test commands to README
10,a1c9c7e2,2026-03-18,sound,docs/meta,0,298,104,1,Comprehensive README with Solutions to Unsolved Problems section
11,b8412c62,2026-03-18,sound,docs/meta,0,446,2,4,Add LSST/Rubin Observatory predictions (Example 08)
12,a2486a25,2026-03-18,sound,MOND-cosmology,0,1010,2,6,Add S8 tension and CMB lensing examples (09-10)
13,beea4db8,2026-03-18,sound,MOND-cosmology,0,1624,0,8,"Add MIT-focused examples (11-13): MW dynamics, structure formation, lensing"
14,b2dc74fe,2026-03-18,sound,MOND-cosmology,0,1550,0,9,"Add examples 14-17: Bullet Cluster, Core-Cusp, Diversity, RAR"
15,0d2f73d0,2026-03-18,sound,MOND-cosmology,1,476,0,3,Add Example 18: Deriving cosmological constant from MOND
16,1955043d,2026-03-18,sound,other,0,336,0,1,Add practical Zimmerman calculator tool
17,9e686746,2026-03-18,sound,MOND-cosmology,1,604,0,2,Add formal paper: A Cosmological Origin for the MOND Acceleration Scale
18,ff732d73,2026-03-18,sound,MOND-cosmology,0,428,0,2,Add GW detection concept: MOND systems as ultra-low-frequency detectors
19,318214cb,2026-03-18,sound,MOND-cosmology,0,417,0,3,Add comprehensive applications analysis + Example 19 (Dark Energy EoS)
