'delta_dot_u' depends on axioms: [propext, Classical.choice, Quot.sound]
'beyond_the_wall' depends on axioms: [propext, Classical.choice, Quot.sound]
'hardy_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'vacuum_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'vacuum_gap_free' depends on axioms: [propext, Classical.choice, Quot.sound]
'marginal_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'marginal_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'slab_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'slab_diff' depends on axioms: [propext, Classical.choice, Quot.sound]
'free_marginal_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'free_gap_closes' depends on axioms: [propext, Classical.choice, Quot.sound]
'stability_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'constant_confinement_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'constant_confinement_floor' depends on axioms: [propext, Classical.choice, Quot.sound]
'constant_slab_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'constant_floor_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'constant_uniform_floor_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'constant_all_boxes_nonneg_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'confined_beyond_wall' depends on axioms: [propext, Classical.choice, Quot.sound]
'confined_critical_gap_closes' depends on axioms: [propext, Classical.choice, Quot.sound]
'confined_counterexample_to_universal_wall' depends on axioms: [propext, Classical.choice, Quot.sound]
'kinetic_pos_of_norm_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'confined_critical_finite_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'sine_mode_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'sine_mode_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'sine_mode_recurrence' depends on axioms: [propext, Classical.choice, Quot.sound]
'dirichlet_green_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'sine_mode_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'sine_mode_norm_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
