toy: n=16 qubits, 16 4-body plaquettes, D=4, s=4; lam_c(s=4) = 0.01190830

== V_p = diag(+1 vac, -1 else) ==
  lam/lam_c   lam      ED gap   >=1/2?  KT conv  |<psi_KT|g>|  E_KT-E0_ED   ||C||_1   mu*(lam)  ratio  2lam q'(||C||)  L4'-says-gap>=1/2
      0.5  0.00595  0.98809  yes       0   1.000000000000  +1.64e-15  0.000e+00  1.069e-02  0.000   0.3443   yes 
      1.0  0.01191  0.97618  yes       0   1.000000000000  +8.88e-16  0.000e+00  2.997e-02  0.000   0.6886   yes 
      2.0  0.02382  0.95237  yes       0   1.000000000000  +2.51e-15  0.000e+00  inf  nan   1.3773   no 
      5.0  0.05954  0.88092  yes       0   1.000000000000  -1.11e-16  0.000e+00  inf  nan   3.4432   no 
     10.0  0.11908  0.76183  yes       0   1.000000000000  -5.55e-17  0.000e+00  inf  nan   6.8863   no 
     20.0  0.23817  0.52367  yes       0   1.000000000000  -1.22e-15  0.000e+00  inf  nan   13.7726   no 
     22.0  0.26198  0.47603  NO        0   1.000000000000  -5.77e-15  0.000e+00  inf  nan   15.1499   no 
     25.0  0.29771  0.40458  NO        0   1.000000000000  -1.33e-14  0.000e+00  inf  nan   17.2158   no 

== V_p = reflection Om->w_T~1/|T| ==
  lam/lam_c   lam      ED gap   >=1/2?  KT conv  |<psi_KT|g>|  E_KT-E0_ED   ||C||_1   mu*(lam)  ratio  2lam q'(||C||)  L4'-says-gap>=1/2
      0.5  0.00595  1.00207  yes      14   1.000000000000  +1.47e-14  5.267e-03  1.069e-02  0.493   0.3681   yes 
      1.0  0.01191  1.00430  yes      14   1.000000000000  +4.97e-14  1.064e-02  2.997e-02  0.355   0.7878   yes 
      2.0  0.02382  1.00924  yes      14   1.000000000000  +1.03e-13  2.174e-02  inf  nan   1.8083   no 
      5.0  0.05954  1.02767  yes      14   1.000000000000  -3.92e-13  5.785e-02  inf  nan   6.9748   no 
     10.0  0.11908  1.06899  yes      15   1.000000000000  +2.84e-13  1.283e-01  inf  nan   30.9625   no 
     20.0  0.23817  1.18078  yes      15   1.000000000000  +1.48e-12  3.115e-01  inf  nan   409.0343   no 
     22.0  0.26198  1.20640  yes      15   1.000000000000  +1.93e-13  3.548e-01  inf  nan   682.3963   no 
     25.0  0.29771  1.24624  yes      16   1.000000000000  -2.51e-13  4.235e-01  inf  nan   1466.9796   no 

== V_p = -(reflection)  ==
  lam/lam_c   lam      ED gap   >=1/2?  KT conv  |<psi_KT|g>|  E_KT-E0_ED   ||C||_1   mu*(lam)  ratio  2lam q'(||C||)  L4'-says-gap>=1/2
      0.5  0.00595  0.99408  yes      14   1.000000000000  +1.87e-14  5.209e-03  1.069e-02  0.487   0.3679   yes 
      1.0  0.01191  0.98822  yes      14   1.000000000000  +7.39e-14  1.041e-02  2.997e-02  0.347   0.7855   yes 
      2.0  0.02382  0.97669  yes      15   1.000000000000  +5.61e-14  2.076e-02  inf  nan   1.7867   no 
      5.0  0.05954  0.94370  yes      16   1.000000000000  -1.85e-14  5.121e-02  inf  nan   6.4505   no 
